"表章項目","男女別","人口","時間軸（年月日現在）","全国・都道府県","/年齢5歳階級","総数","注釈","0～4歳","注釈","5～9歳","注釈","10～14歳","注釈","15～19歳","注釈","20～24歳","注釈","25～29歳","注釈","30～34歳","注釈","35～39歳","注釈","40～44歳","注釈","45～49歳","注釈","50～54歳","注釈","55～59歳","注釈","60～64歳","注釈","65～69歳","注釈","70～74歳","注釈","75～79歳","注釈","80～84歳","注釈","85歳以上","注釈"
"人口【千人】","男","総人口","2019年10月1日現在","福島県","","914","","33","","36","","39","","45","","41","","41","","48","","53","","62","","66","","60","","64","","70","","78","","63","","48","","35","","33",""
"人口【千人】","男","総人口","2019年10月1日現在","茨城県","","1427","","53","","58","","64","","71","","73","","68","","78","","88","","101","","114","","97","","88","","93","","108","","100","","81","","51","","41",""
"人口【千人】","男","総人口","2019年10月1日現在","栃木県","","964","","37","","40","","44","","47","","46","","46","","54","","62","","71","","78","","66","","61","","65","","74","","66","","49","","32","","27",""
"人口【千人】","男","総人口","2019年10月1日現在","群馬県","","962","","35","","39","","44","","50","","50","","46","","51","","57","","68","","77","","67","","59","","61","","70","","69","","53","","34","","31",""
"人口【千人】","男","総人口","2019年10月1日現在","埼玉県","","3668","","141","","151","","159","","174","","212","","206","","209","","232","","273","","320","","272","","225","","207","","236","","239","","201","","125","","84",""
"人口【千人】","男","総人口","2019年10月1日現在","千葉県","","3105","","118","","126","","135","","147","","167","","163","","172","","195","","228","","267","","229","","192","","178","","206","","212","","176","","112","","80",""
"人口【千人】","男","総人口","2019年10月1日現在","東京都","","6846","","273","","265","","256","","281","","435","","486","","481","","514","","550","","596","","534","","435","","352","","363","","365","","294","","201","","166",""
"人口【千人】","男","総人口","2019年10月1日現在","神奈川県","","4585","","177","","189","","196","","215","","271","","268","","269","","299","","348","","405","","367","","296","","247","","270","","274","","229","","151","","114",""
"人口【千人】","男","総人口","2019年10月1日現在","新潟県","","1078","","39","","44","","48","","52","","48","","47","","55","","63","","75","","80","","72","","70","","76","","88","","79","","59","","44","","41",""
"人口【千人】","男","総人口","2019年10月1日現在","富山県","","506","","19","","20","","23","","25","","25","","23","","26","","29","","36","","42","","34","","31","","31","","37","","40","","30","","19","","18",""
"人口【千人】","男","総人口","2019年10月1日現在","石川県","","553","","22","","24","","26","","30","","31","","27","","29","","32","","40","","45","","36","","33","","33","","38","","41","","30","","18","","17",""
"人口【千人】","男","総人口","2019年10月1日現在","福井県","","374","","15","","17","","18","","19","","18","","17","","19","","21","","25","","28","","24","","24","","25","","28","","26","","20","","14","","14",""
"人口【千人】","男","総人口","2019年10月1日現在","山梨県","","397","","15","","16","","18","","21","","20","","18","","20","","22","","26","","30","","28","","27","","27","","30","","28","","22","","15","","15",""
"人口【千人】","男","総人口","2019年10月1日現在","長野県","","1000","","38","","43","","47","","51","","44","","41","","49","","56","","69","","78","","69","","63","","64","","73","","72","","59","","41","","43",""
"人口【千人】","男","総人口","2019年10月1日現在","岐阜県","","964","","38","","43","","46","","51","","49","","43","","49","","56","","67","","76","","65","","60","","59","","69","","70","","55","","37","","32",""
"人口【千人】","男","総人口","2019年10月1日現在","静岡県","","1797","","69","","78","","83","","89","","83","","83","","98","","109","","126","","144","","126","","114","","114","","130","","126","","102","","67","","57",""
"人口【千人】","男","総人口","2019年10月1日現在","愛知県","","3780","","161","","171","","176","","191","","226","","224","","234","","251","","282","","321","","272","","228","","201","","219","","229","","187","","120","","89",""
"人口【千人】","男","総人口","2019年10月1日現在","三重県","","870","","34","","37","","40","","44","","44","","42","","46","","51","","61","","70","","60","","55","","53","","60","","60","","49","","33","","29",""
"人口【千人】","男","総人口","2019年10月1日現在","滋賀県","","699","","31","","34","","35","","38","","40","","38","","41","","44","","51","","56","","46","","41","","40","","45","","44","","34","","22","","19",""
"人口【千人】","男","総人口","2019年10月1日現在","京都府","","1234","","47","","51","","55","","61","","79","","72","","67","","71","","85","","99","","84","","73","","68","","80","","87","","70","","46","","39",""
"人口【千人】","男","総人口","2019年10月1日現在","大阪府","","4227","","169","","177","","188","","210","","245","","235","","237","","257","","300","","362","","312","","258","","225","","264","","285","","240","","155","","109",""
"人口【千人】","男","総人口","2019年10月1日現在","兵庫県","","2605","","108","","115","","122","","134","","135","","121","","135","","152","","181","","214","","184","","163","","155","","178","","185","","147","","96","","80",""
"人口【千人】","男","総人口","2019年10月1日現在","奈良県","","626","","24","","27","","29","","34","","32","","27","","30","","33","","41","","48","","42","","39","","38","","46","","48","","40","","26","","21",""
"人口【千人】","男","総人口","2019年10月1日現在","和歌山県","","435","","17","","18","","20","","22","","19","","17","","21","","23","","28","","33","","29","","28","","29","","34","","33","","27","","18","","17",""
"人口【千人】","男","総人口","2019年10月1日現在","鳥取県","","266","","11","","12","","13","","13","","12","","11","","14","","16","","18","","19","","16","","17","","19","","21","","19","","14","","10","","11",""
"人口【千人】","男","総人口","2019年10月1日現在","島根県","","326","","13","","14","","15","","16","","14","","13","","16","","18","","22","","22","","19","","20","","23","","27","","25","","18","","14","","15",""
"人口【千人】","男","総人口","2019年10月1日現在","岡山県","","909","","38","","41","","43","","47","","50","","46","","48","","53","","62","","70","","57","","53","","56","","63","","66","","50","","34","","33",""
"人口【千人】","男","総人口","2019年10月1日現在","広島県","","1362","","56","","62","","64","","69","","72","","69","","76","","83","","96","","109","","90","","81","","81","","94","","97","","73","","48","","43",""
"人口【千人】","男","総人口","2019年10月1日現在","山口県","","645","","25","","27","","29","","32","","30","","28","","32","","36","","43","","48","","39","","38","","42","","52","","51","","39","","27","","25",""
"人口【千人】","男","総人口","2019年10月1日現在","徳島県","","347","","13","","14","","15","","16","","15","","14","","17","","20","","23","","25","","22","","22","","25","","29","","28","","20","","15","","14",""
"人口【千人】","男","総人口","2019年10月1日現在","香川県","","464","","19","","20","","21","","23","","22","","20","","24","","27","","32","","36","","29","","28","","30","","35","","36","","26","","18","","18",""
"人口【千人】","男","総人口","2019年10月1日現在","愛媛県","","634","","24","","28","","29","","32","","28","","26","","32","","36","","43","","47","","40","","40","","43","","51","","49","","36","","26","","25",""
"人口【千人】","男","総人口","2019年10月1日現在","高知県","","329","","12","","13","","14","","16","","14","","13","","15","","18","","22","","24","","20","","21","","23","","27","","27","","20","","14","","15",""
"人口【千人】","男","総人口","2019年10月1日現在","福岡県","","2416","","110","","116","","116","","122","","139","","125","","134","","154","","173","","184","","153","","143","","149","","174","","159","","118","","78","","68",""
"人口【千人】","男","総人口","2019年10月1日現在","佐賀県","","386","","17","","19","","20","","21","","18","","17","","20","","23","","26","","26","","23","","24","","27","","31","","26","","19","","14","","14",""
"人口【千人】","男","総人口","2019年10月1日現在","長崎県","","624","","27","","29","","30","","31","","26","","26","","30","","34","","39","","43","","39","","41","","46","","54","","46","","33","","26","","23",""
"人口【千人】","男","総人口","2019年10月1日現在","熊本県","","825","","37","","41","","41","","42","","39","","37","","44","","49","","54","","55","","50","","52","","58","","65","","57","","41","","33","","33",""
"人口【千人】","男","総人口","2019年10月1日現在","大分県","","539","","22","","24","","25","","27","","25","","23","","28","","31","","37","","38","","32","","32","","37","","43","","40","","30","","22","","22",""
"人口【千人】","男","総人口","2019年10月1日現在","宮崎県","","505","","22","","25","","26","","26","","21","","20","","24","","29","","33","","34","","29","","32","","37","","42","","37","","27","","21","","20",""
"人口【千人】","男","総人口","2019年10月1日現在","鹿児島県","","753","","34","","37","","38","","37","","30","","30","","37","","43","","47","","48","","45","","49","","59","","65","","53","","39","","31","","30",""
