"_time",updated,confirmed,confirmedAvg3d,confirmedAvg7d,confirmedCumulative,confirmedCumulativeAvg3d,confirmedCumulativeAvg7d,criticalCumulative,deceased,deceasedCumulative,recoveredCumulative,testedCumulative,"info_max_time","info_min_time","info_search_time","info_sid","__mv__time","__mv_updated","__mv_confirmed","__mv_confirmedAvg3d","__mv_confirmedAvg7d","__mv_confirmedCumulative","__mv_confirmedCumulativeAvg3d","__mv_confirmedCumulativeAvg7d","__mv_criticalCumulative","__mv_deceased","__mv_deceasedCumulative","__mv_recoveredCumulative","__mv_testedCumulative","__mv_info_max_time","__mv_info_min_time","__mv_info_search_time","__mv_info_sid"
"1585494000.000000","2020-05-01T20:17:15+09:00",94,155,121,1994,1853,1559,59,2,65,424,28966,"1588355400.000","1588266000.000","1588355400.659","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD520c69bfee7e662cf_at_1588355400_294",,,,,,,,,,,,,,,,,
"1585580400.000000","2020-05-01T20:17:15+09:00",255,174,147,2249,2027,1706,59,2,67,424,32497,"1588355400.000","1588266000.000","1588355400.659","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD520c69bfee7e662cf_at_1588355400_294",,,,,,,,,,,,,,,,,
"1585666800.000000","2020-05-01T20:17:15+09:00",279,209,173,2528,2236,1879,60,5,72,472,34508,"1588355400.000","1588266000.000","1588355400.659","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD520c69bfee7e662cf_at_1588355400_294",,,,,,,,,,,,,,,,,
"1585753200.000000","2020-05-01T20:17:15+09:00",282,272,199,2810,2508,2078,62,3,75,505,34510,"1588355400.000","1588266000.000","1588355400.659","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD520c69bfee7e662cf_at_1588355400_294",,,,,,,,,,,,,,,,,
"1585839600.000000","2020-05-01T20:17:15+09:00",334,298,230,3144,2806,2308,64,6,81,514,39446,"1588355400.000","1588266000.000","1588355400.659","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD520c69bfee7e662cf_at_1588355400_294",,,,,,,,,,,,,,,,,
"1585926000.000000","2020-05-01T20:17:15+09:00",369,328,255,3513,3134,2563,69,6,87,575,42882,"1588355400.000","1588266000.000","1588355400.659","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD520c69bfee7e662cf_at_1588355400_294",,,,,,,,,,,,,,,,,
"1586012400.000000","2020-05-01T20:17:15+09:00",353,352,280,3866,3486,2843,70,6,93,584,44639,"1588355400.000","1588266000.000","1588355400.659","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD520c69bfee7e662cf_at_1588355400_294",,,,,,,,,,,,,,,,,
"1586098800.000000","2020-05-01T20:17:15+09:00",233,318,300,4099,3804,3143,79,3,96,592,46172,"1588355400.000","1588266000.000","1588355400.659","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD520c69bfee7e662cf_at_1588355400_294",,,,,,,,,,,,,,,,,
"1586185200.000000","2020-05-01T20:17:15+09:00",367,317,316,4466,4121,3459,80,2,98,622,55311,"1588355400.000","1588266000.000","1588355400.659","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD520c69bfee7e662cf_at_1588355400_294",,,,,,,,,,,,,,,,,
"1586271600.000000","2020-05-01T20:17:15+09:00",523,374,351,4989,4495,3810,99,8,106,632,61498,"1588355400.000","1588266000.000","1588355400.659","scheduler__nobody_Y292aWQxOS1qYXBhbg__RMD520c69bfee7e662cf_at_1588355400_294",,,,,,,,,,,,,,,,,
